Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
"Routt County, Colorado",8107,"2.58 (1.82, 4.32)","2.72 (1.95, 4.24)","2.85 (2.11, 4.12)","3.33 (2.51, 4.40)","3.95 (2.68, 5.16)","4.31 (2.70, 5.76)","4.40 (2.66, 6.00)","4.47 (2.66, 6.08)","72.92 (-17.44, 167.14)"
"Saguache County, Colorado",8109,"2.64 (1.86, 4.38)","2.84 (2.06, 4.58)","3.08 (2.29, 4.51)","3.56 (2.70, 4.83)","4.26 (2.96, 5.63)","4.52 (2.75, 6.09)","4.60 (2.75, 6.30)","4.65 (2.72, 6.44)","75.86 (-16.79, 168.63)"
"San Juan County, Colorado",8111,"2.85 (1.84, 4.86)","2.82 (1.86, 4.45)","2.95 (2.02, 4.47)","3.24 (2.22, 4.58)","4.26 (2.60, 6.31)","5.05 (2.87, 7.70)","5.57 (2.94, 8.82)","5.25 (2.90, 8.40)","84.54 (-15.92, 210.71)"
"San Miguel County, Colorado",8113,"2.59 (1.71, 4.41)","2.78 (1.85, 4.46)","2.95 (1.98, 4.49)","3.55 (2.46, 4.97)","4.41 (2.84, 6.03)","4.44 (2.71, 6.22)","4.52 (2.69, 6.45)","4.82 (2.79, 7.23)","86.01 (-9.46, 197.99)"
"Sedgwick County, Colorado",8115,"2.92 (1.99, 4.90)","3.23 (2.26, 5.06)","3.57 (2.55, 5.16)","4.21 (3.03, 5.64)","5.17 (3.53, 6.92)","5.61 (3.43, 7.81)","5.75 (3.37, 8.07)","6.28 (3.65, 9.13)","115.14 (2.58, 246.72)"
"Summit County, Colorado",8117,"1.68 (1.15, 2.79)","1.94 (1.37, 3.02)","2.08 (1.54, 3.01)","2.46 (1.81, 3.35)","3.01 (2.02, 3.97)","3.01 (1.92, 4.03)","2.85 (1.80, 3.80)","2.89 (1.83, 3.92)","72.30 (-13.42, 157.87)"
"Teller County, Colorado",8119,"2.44 (1.70, 4.22)","2.66 (1.90, 4.26)","2.94 (2.15, 4.43)","3.37 (2.48, 4.63)","3.90 (2.55, 5.03)","4.39 (2.62, 5.84)","4.32 (2.58, 5.84)","4.48 (2.65, 6.07)","83.43 (-8.84, 184.86)"
"Washington County, Colorado",8121,"2.60 (1.86, 4.39)","2.78 (2.02, 4.45)","3.05 (2.26, 4.45)","3.46 (2.56, 4.69)","4.08 (2.69, 5.34)","4.41 (2.67, 5.94)","4.35 (2.56, 6.00)","4.68 (2.81, 6.61)","79.82 (-13.43, 177.49)"
"Weld County, Colorado",8123,"2.69 (2.16, 4.23)","2.98 (2.48, 4.50)","3.23 (2.79, 4.48)","3.80 (3.15, 4.82)","4.64 (3.26, 5.28)","5.17 (3.42, 5.90)","5.36 (3.42, 6.17)","5.40 (3.50, 6.27)","100.42 (3.08, 175.85)"
"Yuma County, Colorado",8125,"2.33 (1.67, 3.82)","2.49 (1.83, 3.83)","2.70 (2.03, 3.83)","3.17 (2.38, 4.20)","3.84 (2.62, 5.04)","4.26 (2.66, 5.66)","4.29 (2.58, 5.89)","4.40 (2.58, 6.16)","88.64 (-6.64, 192.43)"
Connecticut,9,"2.18 (1.81, 3.37)","2.42 (2.08, 3.58)","2.73 (2.42, 3.75)","3.34 (2.82, 4.19)","4.16 (3.00, 4.62)","4.73 (3.18, 5.26)","5.00 (3.25, 5.61)","5.36 (3.50, 6.11)","145.76 (30.66, 223.43)"
"Fairfield County, Connecticut",9001,"2.28 (1.85, 3.60)","2.49 (2.07, 3.75)","2.78 (2.38, 3.81)","3.25 (2.74, 4.09)","3.96 (2.91, 4.53)","4.44 (2.97, 5.10)","4.55 (2.94, 5.24)","4.75 (3.12, 5.54)","108.38 (12.55, 184.66)"
"Hartford County, Connecticut",9003,"2.13 (1.72, 3.31)","2.37 (1.98, 3.49)","2.73 (2.34, 3.70)","3.48 (2.87, 4.37)","4.29 (3.07, 4.88)","4.98 (3.29, 5.73)","5.39 (3.45, 6.26)","5.79 (3.72, 6.81)","171.71 (44.07, 276.42)"
"Litchfield County, Connecticut",9005,"2.11 (1.64, 3.34)","2.36 (1.91, 3.54)","2.61 (2.18, 3.68)","3.17 (2.64, 4.00)","3.94 (2.81, 4.62)","4.53 (2.98, 5.43)","4.75 (3.08, 5.74)","5.08 (3.33, 6.17)","140.41 (25.88, 239.38)"
"Middlesex County, Connecticut",9007,"2.03 (1.53, 3.17)","2.26 (1.78, 3.40)","2.58 (2.09, 3.58)","3.18 (2.58, 4.06)","3.96 (2.79, 4.69)","4.40 (2.91, 5.30)","4.74 (3.10, 5.77)","5.01 (3.25, 6.17)","147.37 (32.24, 255.02)"
"New Haven County, Connecticut",9009,"2.23 (1.79, 3.50)","2.51 (2.08, 3.73)","2.82 (2.42, 3.89)","3.45 (2.90, 4.28)","4.39 (3.12, 4.98)","4.97 (3.30, 5.71)","5.27 (3.46, 6.09)","5.82 (3.81, 6.79)","161.34 (41.01, 260.52)"
"New London County, Connecticut",9011,"1.86 (1.45, 3.02)","2.04 (1.64, 3.12)","2.33 (1.92, 3.24)","2.79 (2.29, 3.61)","3.59 (2.58, 4.20)","4.12 (2.72, 4.90)","4.35 (2.79, 5.24)","4.69 (3.00, 5.74)","152.75 (33.61, 258.01)"
"Tolland County, Connecticut",9013,"2.39 (1.83, 3.80)","2.67 (2.12, 3.99)","2.99 (2.41, 4.10)","3.62 (2.86, 4.66)","4.42 (3.15, 5.29)","5.01 (3.30, 6.11)","5.28 (3.33, 6.43)","5.55 (3.57, 6.86)","132.59 (22.21, 228.95)"
"Windham County, Connecticut",9015,"2.28 (1.73, 3.74)","2.52 (1.97, 3.86)","2.85 (2.27, 4.01)","3.53 (2.85, 4.57)","4.40 (3.19, 5.30)","4.99 (3.29, 6.06)","5.27 (3.38, 6.46)","5.60 (3.55, 6.93)","145.77 (30.01, 254.96)"
Delaware,10,"2.39 (1.94, 3.72)","2.69 (2.27, 4.01)","3.04 (2.64, 4.11)","3.72 (3.07, 4.61)","4.63 (3.30, 5.20)","5.32 (3.53, 6.03)","5.60 (3.60, 6.42)","5.94 (3.87, 6.91)","148.69 (34.00, 231.00)"
"Kent County, Delaware",10001,"2.48 (1.92, 3.95)","2.81 (2.26, 4.26)","3.16 (2.61, 4.38)","3.85 (3.10, 5.01)","4.82 (3.32, 5.66)","5.57 (3.56, 6.75)","5.98 (3.81, 7.26)","6.30 (4.02, 7.73)","154.10 (37.08, 255.22)"
"New Castle County, Delaware",10003,"2.26 (1.81, 3.57)","2.54 (2.09, 3.77)","2.90 (2.47, 3.95)","3.58 (2.93, 4.45)","4.52 (3.19, 5.18)","5.24 (3.52, 6.09)","5.53 (3.53, 6.51)","5.94 (3.87, 7.08)","163.55 (39.53, 262.26)"
"Sussex County, Delaware",10005,"2.75 (2.16, 4.24)","3.06 (2.45, 4.64)","3.39 (2.86, 4.65)","4.02 (3.32, 5.06)","4.79 (3.41, 5.60)","5.35 (3.53, 6.29)","5.53 (3.60, 6.56)","5.76 (3.77, 6.97)","109.32 (12.17, 194.15)"
District of Columbia,11,"3.94 (3.28, 5.85)","4.08 (3.46, 5.77)","4.41 (3.83, 5.90)","4.91 (4.09, 6.07)","5.43 (3.90, 6.16)","5.45 (3.77, 6.19)","5.23 (3.52, 6.03)","5.14 (3.55, 5.98)","30.60 (-23.10, 71.26)"
"District of Columbia, District of Columbia",11001,"3.94 (3.28, 5.85)","4.08 (3.46, 5.77)","4.41 (3.83, 5.90)","4.91 (4.09, 6.07)","5.43 (3.90, 6.16)","5.45 (3.77, 6.19)","5.23 (3.52, 6.03)","5.14 (3.55, 5.98)","30.60 (-23.10, 71.26)"
Florida,12,"2.70 (2.29, 4.17)","2.84 (2.47, 4.19)","3.08 (2.77, 4.21)","3.56 (2.97, 4.44)","4.17 (3.01, 4.61)","4.53 (3.03, 5.01)","4.63 (3.00, 5.16)","4.71 (3.08, 5.29)","74.44 (-8.50, 123.83)"
"Alachua County, Florida",12001,"3.90 (3.04, 6.09)","4.23 (3.39, 6.39)","4.59 (3.83, 6.33)","5.49 (4.55, 6.99)","6.66 (4.76, 7.83)","7.21 (4.79, 8.46)","7.50 (5.00, 8.86)","7.71 (5.05, 9.23)","97.52 (7.12, 179.48)"
"Baker County, Florida",12003,"3.54 (2.64, 5.63)","3.84 (2.91, 5.90)","4.28 (3.34, 6.05)","4.99 (3.84, 6.51)","5.94 (4.14, 7.47)","6.54 (4.16, 8.30)","6.65 (4.15, 8.53)","6.94 (4.43, 9.11)","96.10 (2.14, 191.09)"
"Bay County, Florida",12005,"3.39 (2.59, 5.50)","3.53 (2.80, 5.33)","3.84 (3.16, 5.36)","4.39 (3.58, 5.64)","5.14 (3.64, 6.10)","5.42 (3.56, 6.52)","5.55 (3.50, 6.82)","5.72 (3.56, 7.04)","68.44 (-12.71, 149.28)"
"Bradford County, Florida",12007,"3.67 (2.71, 5.82)","4.01 (3.05, 6.03)","4.46 (3.51, 6.16)","5.29 (4.04, 6.77)","6.32 (4.28, 7.85)","6.95 (4.37, 8.82)","7.17 (4.40, 9.25)","7.35 (4.54, 9.58)","100.25 (3.63, 197.23)"
"Brevard County, Florida",12009,"2.99 (2.37, 4.76)","3.14 (2.57, 4.73)","3.48 (2.97, 4.79)","3.95 (3.23, 4.98)","4.76 (3.35, 5.44)","5.21 (3.52, 5.98)","5.28 (3.25, 6.16)","5.46 (3.50, 6.48)","82.67 (-3.66, 159.07)"
"Broward County, Florida",12011,"1.97 (1.59, 3.05)","2.09 (1.75, 3.12)","2.24 (1.95, 3.07)","2.61 (2.15, 3.27)","2.99 (2.16, 3.39)","3.36 (2.18, 3.82)","3.51 (2.32, 4.06)","3.56 (2.32, 4.15)","80.56 (-2.98, 146.63)"
"Calhoun County, Florida",12013,"3.18 (2.30, 5.11)","3.44 (2.52, 5.23)","3.83 (2.91, 5.43)","4.40 (3.41, 5.84)","5.29 (3.65, 6.91)","5.67 (3.49, 7.59)","5.69 (3.48, 7.62)","5.74 (3.47, 7.90)","80.38 (-8.55, 176.11)"
"Charlotte County, Florida",12015,"2.79 (2.20, 4.28)","3.01 (2.45, 4.47)","3.29 (2.77, 4.47)","3.79 (3.18, 4.76)","4.42 (3.25, 5.09)","4.70 (3.20, 5.54)","4.76 (3.09, 5.66)","4.76 (3.11, 5.71)","70.91 (-11.11, 142.03)"
"Citrus County, Florida",12017,"2.75 (2.12, 4.23)","2.96 (2.37, 4.46)","3.20 (2.65, 4.45)","3.71 (3.07, 4.70)","4.27 (3.10, 5.00)","4.54 (3.02, 5.44)","4.59 (2.93, 5.60)","4.81 (3.14, 5.85)","74.60 (-8.45, 149.45)"
"Clay County, Florida",12019,"3.21 (2.43, 5.13)","3.55 (2.81, 5.40)","3.96 (3.23, 5.59)","4.76 (3.82, 6.13)","5.78 (4.15, 6.91)","6.49 (4.28, 7.81)","6.84 (4.33, 8.28)","7.11 (4.61, 8.75)","121.69 (13.15, 217.92)"
"Collier County, Florida",12021,"2.88 (2.24, 4.48)","2.99 (2.41, 4.45)","3.13 (2.62, 4.26)","3.46 (2.94, 4.36)","4.06 (2.99, 4.70)","4.39 (2.96, 5.10)","4.37 (2.83, 5.17)","4.41 (2.89, 5.27)","53.20 (-20.12, 116.23)"
"Columbia County, Florida",12023,"3.46 (2.62, 5.50)","3.73 (2.91, 5.61)","4.17 (3.38, 5.80)","4.95 (3.97, 6.29)","6.03 (4.32, 7.29)","6.55 (4.32, 8.02)","6.88 (4.45, 8.56)","7.30 (4.77, 9.19)","110.96 (11.24, 205.44)"
"DeSoto County, Florida",12027,"3.30 (2.45, 5.13)","3.34 (2.55, 5.05)","3.48 (2.74, 4.94)","3.94 (3.06, 5.17)","4.46 (3.15, 5.49)","4.57 (2.86, 5.80)","4.46 (2.82, 5.72)","4.43 (2.80, 5.85)","34.24 (-31.12, 96.18)"
"Dixie County, Florida",12029,"3.59 (2.55, 5.93)","3.86 (2.83, 6.09)","4.32 (3.31, 6.19)","5.17 (3.90, 6.78)","6.18 (4.36, 7.98)","6.79 (4.42, 8.85)","7.13 (4.48, 9.60)","7.59 (4.77, 10.28)","111.63 (7.48, 229.06)"
"Duval County, Florida",12031,"3.34 (2.67, 5.29)","3.51 (2.91, 5.28)","3.77 (3.22, 5.14)","4.48 (3.66, 5.52)","5.44 (3.88, 6.17)","6.04 (3.91, 6.96)","5.97 (3.83, 6.92)","6.05 (3.97, 7.08)","81.35 (0.79, 149.80)"
"Escambia County, Florida",12033,"3.18 (2.49, 4.85)","3.48 (2.81, 5.14)","4.00 (3.34, 5.50)","4.67 (3.85, 5.84)","5.87 (4.18, 6.78)","6.48 (4.38, 7.63)","6.85 (4.57, 8.19)","7.06 (4.72, 8.38)","122.29 (21.24, 215.54)"
"Flagler County, Florida",12035,"2.63 (1.97, 4.09)","2.82 (2.16, 4.23)","3.17 (2.55, 4.42)","3.66 (3.00, 4.61)","4.30 (3.09, 5.18)","4.75 (3.10, 5.81)","5.04 (3.23, 6.18)","5.14 (3.31, 6.30)","95.06 (1.65, 188.09)"
"Franklin County, Florida",12037,"3.22 (2.19, 5.23)","3.47 (2.44, 5.51)","3.81 (2.77, 5.67)","4.50 (3.23, 6.25)","5.10 (3.43, 6.79)","5.41 (3.30, 7.49)","5.75 (3.42, 8.21)","5.90 (3.45, 8.37)","83.37 (-7.94, 187.12)"
"Gadsden County, Florida",12039,"4.11 (3.17, 6.27)","4.49 (3.55, 6.51)","4.95 (4.06, 6.69)","5.89 (4.68, 7.50)","7.02 (5.12, 8.34)","7.66 (5.08, 9.28)","7.77 (5.00, 9.55)","8.02 (5.18, 9.95)","95.31 (6.64, 175.22)"
"Gilchrist County, Florida",12041,"3.97 (2.88, 6.31)","4.33 (3.27, 6.62)","4.86 (3.79, 6.86)","5.71 (4.37, 7.40)","6.82 (4.80, 8.67)","7.32 (4.75, 9.59)","7.64 (4.86, 10.12)","8.08 (5.11, 10.74)","103.57 (3.70, 202.57)"
"Glades County, Florida",12043,"2.67 (1.96, 4.28)","2.75 (2.07, 4.25)","2.90 (2.25, 4.10)","3.21 (2.49, 4.13)","3.71 (2.64, 4.68)","3.91 (2.51, 5.09)","3.78 (2.40, 5.01)","3.83 (2.42, 5.09)","43.42 (-26.86, 110.88)"
"Gulf County, Florida",12045,"2.82 (1.95, 4.59)","2.90 (2.09, 4.60)","3.09 (2.29, 4.51)","3.57 (2.63, 4.84)","4.33 (2.92, 5.70)","4.54 (2.79, 6.03)","4.46 (2.71, 6.20)","4.57 (2.74, 6.35)","62.26 (-20.43, 154.37)"
"Hamilton County, Florida",12047,"3.71 (2.62, 5.91)","4.05 (3.01, 6.13)","4.51 (3.47, 6.35)","5.29 (4.05, 6.88)","6.38 (4.48, 8.05)","6.88 (4.50, 8.94)","6.94 (4.22, 9.18)","7.13 (4.47, 9.56)","92.08 (-0.91, 187.46)"
"Hardee County, Florida",12049,"3.31 (2.43, 5.25)","3.36 (2.50, 5.17)","3.52 (2.71, 5.00)","4.10 (3.11, 5.40)","4.80 (3.20, 6.02)","4.98 (3.10, 6.49)","4.93 (3.00, 6.55)","5.05 (3.04, 6.89)","52.60 (-21.99, 126.49)"
"Hendry County, Florida",12051,"2.82 (2.12, 4.55)","2.84 (2.18, 4.23)","3.01 (2.37, 4.23)","3.41 (2.63, 4.45)","3.89 (2.69, 4.88)","4.13 (2.60, 5.30)","4.11 (2.55, 5.32)","4.09 (2.53, 5.32)","44.90 (-25.88, 108.98)"
"Hernando County, Florida",12053,"2.93 (2.26, 4.57)","3.05 (2.43, 4.52)","3.31 (2.73, 4.61)","3.67 (2.99, 4.73)","4.27 (3.08, 5.01)","4.70 (3.07, 5.55)","4.79 (3.01, 5.81)","4.83 (3.07, 5.94)","65.06 (-12.69, 138.64)"
"Highlands County, Florida",12055,"2.68 (2.10, 4.07)","2.81 (2.24, 4.25)","2.99 (2.48, 4.11)","3.45 (2.82, 4.41)","3.92 (2.82, 4.64)","4.22 (2.80, 5.05)","4.24 (2.74, 5.13)","4.31 (2.73, 5.31)","60.45 (-12.59, 127.95)"
"Hillsborough County, Florida",12057,"3.01 (2.37, 4.71)","3.08 (2.55, 4.61)","3.30 (2.81, 4.57)","3.78 (3.10, 4.77)","4.29 (3.06, 4.91)","4.54 (3.03, 5.23)","4.56 (2.88, 5.32)","4.44 (2.83, 5.25)","47.70 (-22.99, 105.45)"
"Holmes County, Florida",12059,"3.34 (2.41, 5.33)","3.64 (2.69, 5.64)","4.10 (3.11, 5.79)","4.84 (3.68, 6.43)","5.80 (3.90, 7.38)","6.24 (3.88, 8.25)","6.38 (3.96, 8.65)","6.57 (4.01, 8.93)","96.58 (5.07, 196.30)"
"Indian River County, Florida",12061,"3.12 (2.43, 4.89)","3.17 (2.54, 4.80)","3.34 (2.79, 4.54)","3.85 (3.17, 4.91)","4.45 (3.21, 5.12)","4.81 (3.19, 5.69)","4.90 (3.15, 5.87)","5.15 (3.37, 6.23)","65.30 (-11.67, 138.49)"
"Jackson County, Florida",12063,"3.73 (2.88, 5.76)","4.07 (3.23, 6.00)","4.52 (3.67, 6.17)","5.37 (4.32, 6.83)","6.49 (4.59, 7.83)","7.11 (4.72, 8.64)","7.21 (4.67, 8.90)","7.50 (4.86, 9.24)","101.25 (8.66, 186.32)"
"Jefferson County, Florida",12065,"3.27 (2.43, 5.03)","3.53 (2.65, 5.15)","3.90 (3.02, 5.44)","4.57 (3.56, 5.85)","5.45 (3.76, 6.86)","5.91 (3.76, 7.66)","6.02 (3.77, 7.94)","6.28 (3.86, 8.34)","92.07 (2.19, 180.80)"
"Lafayette County, Florida",12067,"3.57 (2.43, 5.83)","3.91 (2.78, 6.15)","4.42 (3.27, 6.46)","5.25 (3.85, 7.22)","6.37 (4.26, 8.54)","7.23 (4.62, 9.96)","7.60 (4.62, 10.58)","7.84 (4.76, 11.05)","119.63 (14.81, 235.94)"
"Lake County, Florida",12069,"2.74 (2.16, 4.37)","2.82 (2.30, 4.30)","3.11 (2.64, 4.32)","3.61 (3.01, 4.62)","4.21 (3.10, 4.87)","4.67 (3.14, 5.45)","4.75 (3.16, 5.57)","4.97 (3.24, 5.97)","81.66 (-2.99, 153.60)"
"Lee County, Florida",12071,"2.96 (2.37, 4.56)","3.03 (2.52, 4.48)","3.24 (2.76, 4.49)","3.60 (3.00, 4.54)","4.23 (3.04, 4.83)","4.65 (3.05, 5.40)","4.56 (2.98, 5.32)","4.62 (3.00, 5.47)","55.99 (-18.43, 118.33)"
"Leon County, Florida",12073,"3.39 (2.63, 5.14)","3.61 (2.88, 5.30)","4.01 (3.35, 5.39)","4.87 (4.02, 6.02)","6.01 (4.26, 7.09)","6.61 (4.57, 7.75)","6.94 (4.59, 8.30)","7.15 (4.76, 8.63)","110.87 (13.09, 198.68)"
"Levy County, Florida",12075,"3.26 (2.41, 5.17)","3.49 (2.65, 5.34)","3.88 (3.08, 5.41)","4.45 (3.49, 5.71)","5.38 (3.82, 6.61)","5.82 (3.77, 7.20)","5.87 (3.69, 7.46)","6.08 (3.81, 7.82)","86.54 (-3.26, 177.15)"
"Liberty County, Florida",12077,"3.27 (2.30, 5.22)","3.59 (2.55, 5.53)","3.98 (2.95, 5.71)","4.71 (3.41, 6.43)","5.69 (3.76, 7.59)","6.15 (3.74, 8.49)","6.06 (3.66, 8.62)","6.35 (3.77, 9.03)","94.23 (1.81, 201.96)"
"Madison County, Florida",12079,"3.61 (2.68, 5.52)","3.88 (2.98, 5.69)","4.32 (3.44, 5.90)","5.14 (4.02, 6.43)","6.27 (4.43, 7.74)","6.79 (4.48, 8.56)","6.92 (4.50, 8.89)","7.24 (4.68, 9.33)","100.64 (8.46, 193.72)"
"Manatee County, Florida",12081,"2.97 (2.34, 4.64)","3.05 (2.50, 4.53)","3.14 (2.64, 4.23)","3.64 (3.01, 4.55)","4.29 (3.09, 4.94)","4.31 (2.90, 5.03)","4.31 (2.82, 5.08)","4.27 (2.79, 5.11)","43.52 (-25.01, 103.30)"
"Marion County, Florida",12083,"2.74 (2.18, 4.33)","2.85 (2.33, 4.35)","3.08 (2.60, 4.24)","3.63 (2.99, 4.66)","4.28 (3.09, 4.94)","4.60 (3.06, 5.37)","4.78 (3.11, 5.63)","4.89 (3.17, 5.86)","78.20 (-6.45, 149.14)"
"Martin County, Florida",12085,"2.70 (2.11, 4.11)","2.80 (2.26, 4.15)","2.97 (2.48, 4.13)","3.38 (2.77, 4.22)","3.87 (2.77, 4.53)","4.14 (2.74, 4.95)","4.18 (2.67, 5.11)","4.24 (2.73, 5.22)","57.20 (-18.69, 124.56)"
"Miami-Dade County, Florida",12086,"2.27 (1.85, 3.51)","2.43 (2.06, 3.58)","2.79 (2.43, 3.83)","3.35 (2.74, 4.23)","3.79 (2.65, 4.28)","4.15 (2.74, 4.71)","4.21 (2.76, 4.82)","4.23 (2.77, 4.88)","86.53 (1.98, 149.13)"
"Monroe County, Florida",12087,"2.74 (1.97, 4.39)","2.88 (2.18, 4.39)","3.04 (2.40, 4.31)","3.46 (2.76, 4.55)","4.04 (2.85, 4.94)","4.46 (2.89, 5.58)","4.42 (2.77, 5.56)","4.48 (2.80, 5.76)","63.56 (-13.32, 151.29)"
"Nassau County, Florida",12089,"3.41 (2.52, 5.38)","3.67 (2.80, 5.51)","4.09 (3.26, 5.70)","4.78 (3.81, 6.11)","5.80 (4.07, 7.19)","6.33 (4.10, 7.88)","6.42 (4.10, 8.08)","6.77 (4.27, 8.63)","98.71 (4.39, 196.23)"
"Okaloosa County, Florida",12091,"2.72 (2.02, 4.30)","2.99 (2.35, 4.63)","3.38 (2.74, 4.69)","4.05 (3.23, 5.17)","4.85 (3.38, 5.75)","5.39 (3.43, 6.47)","5.54 (3.40, 6.77)","5.74 (3.58, 7.18)","111.37 (10.32, 211.42)"
"Okeechobee County, Florida",12093,"2.88 (2.15, 4.59)","2.96 (2.26, 4.46)","3.13 (2.47, 4.42)","3.53 (2.79, 4.59)","4.11 (2.90, 5.04)","4.36 (2.84, 5.47)","4.32 (2.69, 5.51)","4.41 (2.78, 5.69)","53.10 (-21.74, 121.15)"
"Orange County, Florida",12095,"3.01 (2.40, 4.70)","3.16 (2.61, 4.76)","3.44 (2.93, 4.76)","4.09 (3.38, 5.13)","4.85 (3.41, 5.52)","5.30 (3.58, 6.11)","5.35 (3.43, 6.23)","5.46 (3.58, 6.42)","81.12 (-2.71, 153.81)"
"Osceola County, Florida",12097,"2.52 (1.93, 4.00)","2.62 (2.09, 4.06)","2.86 (2.34, 4.00)","3.32 (2.70, 4.26)","3.91 (2.76, 4.65)","4.30 (2.81, 5.17)","4.35 (2.75, 5.26)","4.38 (2.79, 5.39)","74.28 (-9.37, 152.37)"
"Palm Beach County, Florida",12099,"2.17 (1.77, 3.34)","2.22 (1.85, 3.27)","2.36 (2.05, 3.20)","2.60 (2.17, 3.22)","2.97 (2.13, 3.33)","3.20 (2.18, 3.66)","3.24 (2.12, 3.73)","3.37 (2.24, 3.90)","55.55 (-16.93, 109.93)"
"Pasco County, Florida",12101,"2.91 (2.32, 4.51)","3.07 (2.51, 4.62)","3.26 (2.78, 4.48)","3.64 (3.00, 4.59)","4.19 (3.02, 4.83)","4.42 (2.90, 5.16)","4.50 (2.90, 5.30)","4.45 (2.90, 5.30)","52.82 (-22.49, 111.72)"
"Pinellas County, Florida",12103,"2.80 (2.26, 4.38)","2.86 (2.40, 4.25)","3.00 (2.62, 4.13)","3.43 (2.89, 4.33)","4.00 (2.94, 4.52)","4.23 (2.81, 4.83)","4.25 (2.80, 4.92)","4.33 (2.83, 5.09)","54.62 (-19.19, 112.63)"
"Polk County, Florida",12105,"3.26 (2.62, 5.03)","3.36 (2.77, 5.02)","3.60 (3.07, 5.02)","4.17 (3.45, 5.25)","4.93 (3.52, 5.66)","5.33 (3.50, 6.21)","5.34 (3.42, 6.26)","5.43 (3.50, 6.39)","66.45 (-14.56, 127.95)"
"Putnam County, Florida",12107,"3.03 (2.34, 4.90)","3.23 (2.55, 4.95)","3.58 (2.88, 5.00)","4.11 (3.36, 5.27)","4.85 (3.43, 5.81)","5.24 (3.44, 6.41)","5.36 (3.43, 6.58)","5.50 (3.57, 6.85)","81.29 (-3.93, 159.36)"
"Saint Johns County, Florida",12109,"2.92 (2.21, 4.60)","2.97 (2.34, 4.60)","3.18 (2.59, 4.40)","3.59 (2.88, 4.57)","4.14 (2.93, 4.95)","4.44 (2.85, 5.37)","4.55 (2.82, 5.62)","4.71 (2.92, 5.89)","61.45 (-14.43, 133.98)"
"Saint Lucie County, Florida",12111,"2.74 (2.13, 4.34)","2.81 (2.26, 4.23)","2.96 (2.46, 4.10)","3.42 (2.80, 4.26)","4.01 (2.86, 4.69)","4.25 (2.78, 5.07)","4.37 (2.78, 5.27)","4.50 (2.89, 5.46)","63.99 (-11.69, 136.97)"
"Santa Rosa County, Florida",12113,"2.95 (2.18, 4.70)","3.20 (2.45, 4.88)","3.65 (2.97, 5.03)","4.30 (3.43, 5.57)","5.31 (3.79, 6.37)","5.83 (3.88, 7.09)","6.09 (3.77, 7.54)","6.39 (4.13, 7.98)","116.93 (13.50, 224.76)"
"Sarasota County, Florida",12115,"3.26 (2.62, 5.02)","3.33 (2.73, 4.92)","3.51 (3.02, 4.74)","3.90 (3.26, 4.88)","4.49 (3.25, 5.15)","4.61 (3.09, 5.31)","4.67 (3.06, 5.44)","4.52 (2.91, 5.34)","38.67 (-27.13, 93.76)"
"Seminole County, Florida",12117,"2.76 (2.14, 4.36)","2.94 (2.37, 4.50)","3.22 (2.68, 4.51)","3.74 (3.12, 4.77)","4.54 (3.23, 5.34)","4.85 (3.15, 5.70)","5.01 (3.26, 5.94)","5.24 (3.35, 6.32)","89.97 (-0.29, 173.16)"
"Sumter County, Florida",12119,"2.83 (2.18, 4.62)","2.90 (2.29, 4.42)","3.13 (2.55, 4.43)","3.48 (2.84, 4.48)","4.05 (2.92, 4.85)","4.18 (2.72, 5.06)","4.01 (2.56, 4.89)","4.10 (2.63, 5.07)","44.81 (-25.12, 109.93)"
"Suwannee County, Florida",12121,"3.56 (2.64, 5.60)","3.82 (2.94, 5.85)","4.25 (3.38, 5.89)","4.96 (3.84, 6.30)","5.99 (4.15, 7.35)","6.73 (4.39, 8.43)","7.00 (4.37, 8.84)","7.48 (4.60, 9.53)","110.25 (9.29, 208.61)"
"Taylor County, Florida",12123,"3.83 (2.77, 6.22)","4.06 (2.97, 6.23)","4.46 (3.35, 6.38)","5.34 (4.02, 6.93)","6.62 (4.50, 8.59)","6.97 (4.31, 9.15)","7.22 (4.43, 9.70)","7.62 (4.74, 10.22)","99.19 (2.25, 196.30)"
"Union County, Florida",12125,"5.04 (3.48, 8.21)","5.25 (3.73, 8.13)","5.58 (4.12, 7.98)","6.65 (4.91, 8.93)","7.93 (5.45, 10.30)","8.93 (5.83, 11.82)","8.86 (5.50, 11.98)","9.13 (5.92, 12.38)","81.27 (-9.08, 176.65)"
"Volusia County, Florida",12127,"2.81 (2.24, 4.39)","3.02 (2.49, 4.50)","3.21 (2.73, 4.46)","3.77 (3.15, 4.77)","4.28 (3.03, 4.93)","4.91 (3.18, 5.67)","4.89 (3.12, 5.71)","4.98 (3.26, 5.91)","77.12 (-5.90, 147.54)"
"Wakulla County, Florida",12129,"3.59 (2.54, 5.76)","3.83 (2.79, 5.85)","4.22 (3.15, 5.95)","4.97 (3.66, 6.63)","5.92 (3.97, 7.67)","6.51 (4.03, 8.65)","6.81 (4.00, 9.15)","7.18 (4.23, 9.85)","100.23 (2.04, 205.00)"
